Id	;	twitter	;	class
1	;	o brasil não precisa de invencionices alarmantes por @augustosnunes previsões sobre coronavírus em são paulo não se confirmaram. https://t.co/931cvl5iog	;	1
2	;	é melhor ele não usar cloroquina, né? não tinha aquele papo de eficácia duvidosa, etc.? 🤷🏻\u200d♂️https://t.co/s1t3bkn6m1	;	1
3	;	notícias boas, que bom #quarentena #quartaligadajusticasdv. mais de 70 vacinas contra o coronavírus estão sendo desenvolvidas diz nature #coronavirus https://t.co/kdgzxogm2b	;	1
4	;	#fiqueatento! ⚖️ plenário julga, nesta quarta-feira (15), por videoconferência, ações relacionadas às medidas de combate ao #coronavírus. https://t.co/t6veb1ehcc	;	1
5	;	é genocídio que chama? Funai recebe r$ 11 milhões para proteger indígenas do coronavírus, mas não gasta nenhum centavo - saúde - estadão https://t.co/mnueenbwrl	;	-1
6	;	ataque cibernético paralisa centro de testes de coronavírus. https://t.co/mnaJTRGPch #mindsec #minutodaseguranca #informationsecurity #segurancadainformacao #hacker #cyberattack	;	-1
7	;	o brasil apresenta alguns dos melhores índices de cura do coronavírus. são mais de 55% dos casos, superando países como alemanha (46,9%), espanha (39,9%), frança (27,8%) e itália (22,8%). fonte: ministério da saúde	;	1
8	;	#coronavírus: as festas que se tornaram alvos da polícia após participantes testarem positivo para a covid-19 https://t.co/iz9tu01wcr	;	-1
9	;	☝🏼 atenção! saiba quando e onde encontrar um serviço de saúde em caso suspeito de #coronavírus. sentiu febre, tosse, desconforto respiratório ou falta de ar? dirija-se para uma das quatro upas com referência no atendimento. em caso de outros sintomas, procure as demais unidades https://t.co/cxldt0saqd	;	1
10	;	coronavírus apesar da suspensão de atividades presenciais, a #justiçadotrabalho oferece à sociedade meios para a solução de conflitos https://t.co/vc5g7ii1os https://t.co/fbafe3l6qz	;	1
11	;	3ª guerra mundial irã x eua - fogo na amazônia- pandemia do coronavírus- sons estranhos no céu- chernobyl pegando fogo- aumento da maré- krakatoa entrando em erupçãoem só 4 meseso maia era disléxico e confundiu 2021 com 2012 n é possível https://t.co/j05thqie2k	;	-1
12	;	wilson witzel com coronavírus - recorde de mortes no rj e br- 90% das utis ocupadas em hospital referência municipal- 70% das uti ocupadas na rede estadual- hospitais de campanha não estão prontos- estudo prevê isolamento intermitente até 2022vamos levar a sério?	;	-1
13	;	@andretrig diz que a crise do novo coronavírus ficará ainda mais grave caso não seja respeitado o isolamento social. as internações deram um salto de 57% nesta terça-feira. #cbncontraocoronavírus #fiqueemcasa #noarnacbn https://t.co/fnldnt3wbn	;	-1
14	;	metade das amostras das solas de sapatos do pessoal médico que trabalha na uti foi positiva para o novo coronavírus. os pesquisadores concluíram que o calçado de médicos e enfermeiros também podem ser portadores de sars-cov-2 . https://t.co/tpjawmghal https://t.co/n1nqvxueiy	;	-1
15	;	@davialcolumbre, presidente do senado, falando contra destinar o fundão eleitoral para o combate ao covid-19:esses 2 bilhões, do financiamento da democracia, são eles que são fundamentais para o combate ao coronavírus?gastos do ministério da saúde até agora: r$12 bilhões. https://t.co/vzqmrfjs1u	;	-1
16	;	washington post’ diz que @jairbolsonaro é o pior líder global a lidar com o coronavírus. https://t.co/oyyzumj1re	;	-1
17	;	veja iniciativas que são #boasnotícias em meio à pandemia de #coronavírus. se liga no recadinho de emilly araújo (@emillyaraujoof), apresentadora do #topzera #covid19 #coronavírusnobrasil https://t.co/exxw7siign	;	1
18	;	#covid19: apple e google anunciam iniciativa de rastreamento de pessoas para que governos monitorem fluxos de circulação durante a pandemia do novo #coronavírus. leia em https://t.co/7ktihmjw0f 📷 marcello casal jr./@agenciabrasil/© https://t.co/zsjecqag5i	;	1
19	;	o brasil precisa de um plano de estímulo mais agressivo, como o plano marshall foi para a europa após a segunda guerra? #coronavirus https://t.co/omp0chfwpr	;	-1
20	;	#coronavirus (oms diz: não use ibuprofeno) ~ouça atualizações na região centro-oeste~https://t.co/imlsepja1t	;	-1
21	;	#coronavírus: em araraquara (sp), uma mulher foi presa por descumprir decreto que proibia uso de parques e praças. "esse cirquinho de coronavírus que armaram para implantar uma ditadura comunista", disse ela, antes de ser detida https://t.co/qxn65nr40u	;	-1
22	;	conselho de medicina interdita médica que sugeriu “soro anti-coronavírus” - folha impacto https://t.co/mdcmfatmg6	;	-1
23	;	colapso na #saúde, #desemprego e #recessão são as três maiores preocupações no enfrentamento ao coronavírus https://t.co/yy4os3105a #coronavírus	;	-1
24	;	os gestores de todo o país vão precisa informar o número de leitos e quantos estão ocupados por pacientes infectados pelo coronavírus. se esses dados não forem repassados, a polícia federal poderá fazer uma blitz https://t.co/vteaup5oxq #jornaldarecord #jr24h	;	1
25	;	vão aparecer várias histórias assim, aguardem. a atitude no início da pandemia no brasil foi vergonhosa em muitas organizações que deviam dar o exemplo.https://t.co/acro3sk1yd	;	-1
26	;	não peguei coronavirus até agr graças a deus mas ai namoral msm sem pegar ele está destruindo minha vida 😭😭😭😭😭	;	-1
27	;	o brasil apresenta alguns dos melhores índices de cura do coronavírus. são mais de 55% dos casos, superando países como alemanha (46,9%), espanha (39,9%), frança (27,8%) e itália (22,8%). fonte: ministério da saúde	;	1
28	;	agora, todo dia o paraguai dá lição ao brasil. senado do paraguai cassa mandato de pastora evangélica infectada com coronavírus que quebrou quarentena https://t.co/3axfzhcmdr	;	1
29	;	hipocrisia comigo não! parte 4: debatendo ao vivo na band as medidas contra o coronavírus os desmandos e desgoverno doria e farra com a grana do fundão. https://t.co/jDRnBYdkEQ	;	-1
30	;	e por fim (hoje), o #coronavirus mostrou que a politização de um assunto que envolve a perca de vidas escancara o quanto nosso sistema político (liderança) é infantil, indouto e incoerente. o #brasil terá de sofrer muito pra elevar-se nessa questão. é triste!	;	-1
31	;	fica em casa, seus puto	;	-1
32	;	não há vacina. o distanciamento social é a única medida para evitar a contaminação [por coronavírus] no planeta! nós multiplicamos por dez os casos de covid-19 em 15 dias na ilha de são luís, diz @flaviodino	;	-1
33	;	55% das pessoas diagnosticadas com coronavírus já estão recuperadas, informa ministério da saúde.https://t.co/iqr6hhy3pf	;	-1
34	;	washington post’ diz que bolsonaro é o pior líder global a lidar com o coronavírus - política - estadão https://t.co/ymf1fvz8zr	;	1
35	;	“adolfwitzel” e “dobarbalho” com coronavírus no mesmo dia. ohhh gente burra !!! nem combinaram direito pra não ficar tão “na cara” !!!o brasil é uma grande farsa !!!	;	-1
36	;	cometemos um erro, especialmente na lombardia. estávamos totalmente focados em aumentar o número de leitos em unidades de terapia intensiva”. agora ele trata as pessoas em casa mais cedo com hidroxicloroquina. https://t.co/betgzx857n	;	-1
37	;	coronavírus é a maior fraude sanitária do mundo— dr. shiva ayyadurai (@va_shiva), ph.d. em engenharia biológica.	;	-1
38	;	tem muito cliente e funcionário tossindo. tem gente que tosse em cima da gente, principalmente os idosos, conta a caixa do mundial que preferiu não se identificar por medo de perder o emprego. https://t.co/evvmt1jyxg	;	-1
39	;	[coronavírus] é certo que este vírus irá prejudicar os planos das desenvolvedoras, principalmente na parte de capturas 3d de jogadores e no mocap, mas o mocap é a nível global, já que não é só usado na indústria de games. #fifa #scan3d #pes https://t.co/716b6bwrwa	;	-1
40	;	@allantercalivre você ainda dança cantando “coronavírus”?	;	-1
41	;	@ananiasfernanda a 1a morte que eles mandaram colocar como coronavírus né?	;	1
42	;	@andredimauro @eliane_d_ @marcelolins68 @aurelien_gohier ... desde que começaram a usar ninguém mais precisou ser entubado, 100% de cura e 0% de óbitos.https://t.co/irkzmcd2dn	;	-1
43	;	@bedecarneiro que menino vei??? tem um coronavirus em irecê é?	;	1
44	;	@blogdonoblat é o 14° ano q o partido(pdt)desse senhor governa o pobre amapá, antes do coronavírus já faltava o básico nos hospitais estaduais como gazes e até luvas. então podemos concluir q estão há 14anos trocando o pneudo carro com o carro em movimento. quanta incompetência vc não acha?	;	-1
45	;	@bohngass e o prefeito de caxias está internado em hospital particular no rio. está com coronavirus. deu na globo ontem.	;	-1
46	;	@brazilfight viva o coronavirus, que além de derrubar as máscaras, trouxe mais 50 anos de lava jato.	;	-1
47	;	@calmebyourname coronavirus va embora agora	;	-1
48	;	@cherysil_ @antniosilvio3 está muito claro.o coronavírus foi um engodo muito bem aplicado, com finalidade de roubo de bilhões e tentativa de derrubar bolsonaro.	;	-1
49	;	@costa_rui anuncia negociação com supermercados para viabilizar alimentação de estudanteshttps://t.co/f1ddkmnpyj#covid19nasfavelas #nordesteusou #coronavirus https://t.co/b2uzgpxzve	;	-1
50	;	@davialcolumbredemagogia é se fazer de preocupado com o bem do povo e não abrir mão da mamata eleitoral!esse dinheiro é do povo e não de vocês, canalhas!faça numa pesquisa e veja se o povo tá afim de patrocinar essa mamata!seja homem !https://t.co/cggevbwi2l	;	1
51	;	@davilso0 oi, as entregas até o momento estão normais, porem infelizmente devido a grande pandemia atual que o país esta passando, referente ao coronavírus, pode haver oscilação nas entregas, devido a redução de frotas, quarentena. havendo duvidas, contate nosso suporte.	;	-1
52	;	@desimpedidos coronavírus. sem sexo.	;	-1
53	;	@donalinee @bialavs @anasiqueeira @igronunes saudades? pq eu curaria o coronavirus com as minhas lágrimas pra poder ver vocês hoje	;	-1
54	;	@edsonsalomaomc espalham notícias falsas e querem o caos.no brasil.isto é outro vírus, o vírus da esquerdopatia, mata tanto, quanto o coronavirus.	;	1
55	;	@energyls a suécia, que é citada em verso e prosa pelo osmar terra, proibiu o uso da cloroquina nos pacientes daquele país. não há nada confiável e imbatível diante dessa peste chinesa.https://t.co/iqkymijkk2	;	-1
56	;	@estadaointer governo da nova zelândia destina 20% dos salários para combate ao novo coronavírus -via @estadaointer https://t.co/pyz895q1wu	;	-1
57	;	@estadaopolitica @jairbolsonaro o banco mundial não acha de todo ruim e até citou uma ação do governo bolsonaro como exemplo: a redução de burocracia para importação de produtos que combatem o coronavírus.https://t.co/yucte3wtyt https://t.co/3igsbmqmsu	;	1
58	;	@evacalina desde há 2 dias ?! isto agora mudou imenso... uma variedade de temas, deixou de ser enjoativo, ora vê:- covid-19- pandemia- coronavirus- surto- vacina- testespronto, acho que disse todos, ufa !!! 😛	;	1
59	;	@fabiomelo74 @rinaldojr10000 olha que ótima notícia também! posta ou retweetar fabão, me ajudar a espalhar, enfim, noticias como essas trazem esperança. grande abraço.https://t.co/klz1hdxydh	;	1
60	;	@g1 o momento exato em que witzel pega na perna do coronavírus https://t.co/c8rawzvpo8	;	1
61	;	@gfiuza_oficial @letrin45 a seita da terra parada , team coronavirus, conseguiu 80 bilhões p gastarem a vontade, sem prestar conta, suspender 11 bilhões em dívidas, soltar bandidos da cadeia...ficar em casa é um bom negócio... https://t.co/riksnbjsod	;	1
62	;	@gleisi vc deveria ter vergonha de postar isso. quando quiseram votar pra diminuição dos salários dos servidores e parlamentares pra ajudar a diminuir os gastos nesse tempo de coronavirus vcs votaram contra agora vem com essa de se importar com os mais pobres. me poupe.	;	-1
63	;	@gugachacra a oms sabia. desde dezembro! https://t.co/uwjpg59jfm	;	-1
64	;	@gugachacra você vai omitir o tuíte da @who dizendo que o coronavírus não transmite de pessoa a pessoa, @gugachacra?	;	1
65	;	@helobrasileira @adrianosavix @edermauropa @denisesangoi @vlogdolisboa @vlogdolisboanew 😤 em fortaleza a construção de um hospital temporário no estádio presidente vargas com gasto de 💰80 milhões, para eventuais pacientes de coronavírus. obs: e não investe no novo hospital que já existe com 200 leitos e fechado. que país é esse😤 https://t.co/yvvhlxty52	;	-1
66	;	@intitutoakatu : nossas florestas estão em risco! há parlamentares querendo aproveitar a pandemia do #coronavírus para aprovar a #mp910, que entrega terras a quem mais desmata: os grileiros. cobre que os parlamentarem digam #mp910não. acesse: https://t.co/rbkrlvqo82 https://t.co/kwrdh5w7wl	;	-1
67	;	@janainadobrasilsra. deputada, a única opção rápida é realmente a renúncia do presidente? juridicamente nada pode ser feito? a conta pra esse sociopata só vai chegar com a avalanche de cadáveres? o brasil não merece esse lixo de pr https://t.co/7dc2lipufc	;	-1
68	;	@jerranto @paulomathias ah, lacrou? vc está enganado, ele previu sim 1 milhão de mortes até agosto. espero que você passe a pesquisar o básico no google na próxima postage,evitando assim a vergonha que passa. https://t.co/a6xfzwwyx8	;	-1
69	;	@jnascim @flaviobolsonaro @guilherme_amado @revistaepoca eu a d o r o o ar professoral com que o asno @osmarterra ensina o burrico @bolsonarosp . tá sabendo mais do que as autoridades sobre a curva. esqueceu só q não se sabe se o #coronavirus faz o corpo criar anticorpos e os bolsominions saem falando como se sim.	;	-1
70	;	@joseleapimentel @pavaomisterios_ @leo04551 @jairbolsonaro temos apenas um inimigo: o novo coronavírus. quanto ao medicamento, não preciso tomar, estou assintomático.	;	-1
71	;	@jouberth19 o @minsaude divulga, pela primeira vez, o número de pessoas recuperadas do #coronavírus, até 14/04:▶️25.262 pacientes diagnosticados p/ #covid-19▶️1.532 óbitos▶️9.704 pacientes internados▶️14.026 recuperados	;	1
72	;	@karolcj_ a sua risada amiga, eu acho que ela é a cura pro coronavírus	;	1
73	;	@lhmandetta prevendo o pico do coronavírus é igual pedreiro prevendo o final da obra. #mandettademitido #mandettagenocida #covid_19	;	1
74	;	@monicabergamo que bagunça... jair bolsonaro mata mais que o coronavírus. queria estar surpreso	;	-1
75	;	@n_carvalheira e as mortes? e os casos que ainda tem? mas para aquele senhor é só uma gripezinha https://t.co/tawf4yx67q	;	-1
76	;	@oatila átila explicando sobre o coronavirus. https://t.co/whmayvyir3	;	-1
77	;	@obrenoalmeida @lhmandetta vc sabe mto bem qual é o vídeo citado até pq o tema em questão aqui é o coronavírus. mas se vc acha interessante trazer o currículo do cara para justificar qualquer coisa, então fique a vontade.	;	1
78	;	@olucasmarcolin em ivoti todo mundo vai ter coronavírus, academias abrindo hoje. comércio aberto desde fim de semana já	;	-1
79	;	@rachelsherazade em um país sério ele seria preso, processado, julgado e condenado, bolsonaro trouxe o coronavírus no aerovid-19 (aerococa), pegou o resultado por duas vezes testando positivo e fez questão de disseminar a doença em brasília.país não sério: o aras comandando a pgr arquivaria.	;	-1
80	;	@reacaopressor o governo estadual de sp errou feio sobre a quantidade de mortes por coronavírus!!!é necessário revermos urgentemente as atuais regras estabelecendo metas para a flexibilização e o término da suspensão da atividade das empresas e comércio!#bolsonarotemrazãosim https://t.co/6mxetlitq7	;	-1
81	;	@ricardoalberon1 @theneott @mauriciosiqmau @marcoaurelio969 só lembrando que o vírus que provoca o resfriado comum também é do tipo coronavirus.	;	-1
82	;	@sen_cristovam quando a história do coronavirus for contada, saberemos que os comunistas, tentaram de todas as formas quebrar a economia mundial e implantar um regime socialista.	;	-1
83	;	@sony @disney @nasa eu achei isso intrigante. logo na hora que uma loira, chique, bonita e rica me lacrou para a gente sair na semana o coronavírus veio bater em fortaleza foi ligeiro rapaz! essa foi por pouco loiras!	;	-1
84	;	@taliriapetrone talíria a maconha faz mal para o coronavírus viu, já avisou no twitter?	;	1
85	;	@veramagalhaes eu sei que praga não vale e não pega, más como eu gostaria de ver você pegar o coronavírus e ter que falar pro medico que não quer que use o cloroquina, ahh, más os repórteres e apresentadores da esquerda são imunes. como você pode ser tão vadia.	;	1
86	;	@wilsonwitzel você é tão mentiroso que ninguém consegue acreditar em uma palavra de que diz, nem que esteja com coronavirus. mas, é um sinal que essa quarentena é uma farsa.aproveita e renúncia canalha! #impeachmentdowitzel #witzelditador	;	-1
87	;	#bahiafazciência cientistas baianos propõem novas drogas para tratar o #coronavírus https://t.co/7xquotjk1l..#sectiba #ciência #tecnologia #inovação #covid19 #covid2019 https://t.co/bqw5kwgjf0	;	-1
88	;	#bolsonarotemrazao vão vendo... alguns governantes, ferrenhos defensores do isolamento, estão sendo infectados pelo coronavírus, mas o presidente jair bolsonaro que, segundo a imprensa vermelha, vive saçaricando por aí está mais tranquilo que “água de poço”!!!	;	1
89	;	#bomdia eu insisto e persisto. é viável fazer um pacto federal entre poderes para repassar os 2 bilhões do fundo eleitoral para saúde e auxílio às vítimas do coronavírus. mas o trabalho de convencimento dos políticos tem que ser feito pelo povo. https://t.co/anqyajn3a8	;	1
90	;	#bomdiabrasil a globo está desde as 4 da manhã falando a mesma coisa. parece que não há outro assunto a não ser coronavírus. que saco! só tocam o terror o dia todo. parece que torcem pelo pior. essa ana paula fala com um despeço, nojo de tudo. ninguém quer saber a opinião dela	;	1
