Id,twitter,polarity,aspect1,aspect2,aspect3,aspect4
1,"notícias boas, que bom #quarentena #quartaligadajusticasdv. mais de 70 vacinas contra o coronavírus estão sendo desenvolvidas diz nature #coronavirus https://t.co/kdgzxogm2b",1,none,vacinas,quarentena,none
2,"#fiqueatento! ⚖️ plenário julga, nesta quarta-feira (15), por videoconferência, ações relacionadas às medidas de combate ao #coronavírus. https://t.co/t6veb1ehcc",1,medidas de combate,none,none,none
3,"é genocídio que chama? Funai recebe r$ 11 milhões para proteger indígenas do coronavírus, mas não gasta nenhum centavo - saúde - estadão https://t.co/mnueenbwrl",-1,proteger indígenas,saúde,none,none
4,"o brasil apresenta alguns dos melhores índices de cura do coronavírus. são mais de 55% dos casos, superando países como alemanha (46,9%), espanha (39,9%), frança (27,8%) e itália (22,8%). fonte: ministério da saúde",1,índices de cura,ministério da saúde,brasil,none
5,"☝🏼 atenção! saiba quando e onde encontrar um serviço de saúde em caso suspeito de #coronavírus. sentiu febre, tosse, desconforto respiratório ou falta de ar? dirija-se para uma das quatro upas com referência no atendimento. em caso de outros sintomas, procure as demais unidades https://t.co/cxldt0saqd",1,serviço de saúde,caso suspeito,upas,sintomas
6,wilson witzel com coronavírus - recorde de mortes no rj e br- 90% das utis ocupadas em hospital referência municipal- 70% das uti ocupadas na rede estadual- hospitais de campanha não estão prontos- estudo prevê isolamento intermitente até 2022vamos levar a sério?,-1,wilson witzel,utis,hospital referência,hospitais de campanha
7,@andretrig diz que a crise do novo coronavírus ficará ainda mais grave caso não seja respeitado o isolamento social. as internações deram um salto de 57% nesta terça-feira. #cbncontraocoronavírus #fiqueemcasa #noarnacbn https://t.co/fnldnt3wbn,-1,novo coronavírus,isolamento social,caso,internações
8,metade das amostras das solas de sapatos do pessoal médico que trabalha na uti foi positiva para o novo coronavírus. os pesquisadores concluíram que o calçado de médicos e enfermeiros também podem ser portadores de sars-cov-2 . https://t.co/tpjawmghal https://t.co/n1nqvxueiy,-1,médicos,enfermeiros,pesquisadores,none
9,"@davialcolumbre, presidente do senado, falando contra destinar o fundão eleitoral para o combate ao covid-19:esses 2 bilhões, do financiamento da democracia, são eles que são fundamentais para o combate ao coronavírus?gastos do ministério da saúde até agora: r$12 bilhões. https://t.co/vzqmrfjs1u",-1,presidente do senado,fundão eleitoral,combate ao covid-19,ministério da saúde
10,washington post’ diz que @jairbolsonaro é o pior líder global a lidar com o coronavírus. https://t.co/oyyzumj1re,-1,jair bolsonaro,líder global,none,none
11,"Com a pandemia de Coronavírus ainda fora de controle e os alunos longe das escolas, educadores do ensino municipal de\xa0Atibaia\xa0seguem publicando atividades de vivências e sequências didáticas, com diversas estratégias para levar conteúdo de forma acessível",1,pandemia do coronavírus,alunos longe das escolas,educadores,ensino municipal
12,#covid19: apple e google anunciam iniciativa de rastreamento de pessoas para que governos monitorem fluxos de circulação durante a pandemia do novo #coronavírus. leia em https://t.co/7ktihmjw0f 📷 marcello casal jr./@agenciabrasil/© https://t.co/zsjecqag5i,1,rastreamento de pessoas,fluxo de circulação,pandemia,none
13,"o brasil precisa de um plano de estímulo mais agressivo, como o plano marshall foi para a europa após a segunda guerra? #coronavirus https://t.co/omp0chfwpr",-1,plano de  estímulo,plano marshall,europa,none
14,#coronavirus (oms diz: não use ibuprofeno) ~ouça atualizações na região centro-oeste~https://t.co/imlsepja1t,1,oms,none,none,none
15,"#coronavírus: em araraquara (sp), uma mulher foi presa por descumprir decreto que proibia uso de parques e praças. ""esse cirquinho de coronavírus que armaram para implantar uma ditadura comunista"", disse ela, antes de ser detida https://t.co/qxn65nr40u",-1,ditadura comunista,none,none,none
16,conselho de medicina interdita médica que sugeriu “soro anti-coronavírus” - folha impacto https://t.co/mdcmfatmg6,-1,conselho de medicina,soro anti coronavírus,none,none
17,"os gestores de todo o país vão precisa informar o número de leitos e quantos estão ocupados por pacientes infectados pelo coronavírus. se esses dados não forem repassados, a polícia federal poderá fazer uma blitz https://t.co/vteaup5oxq #jornaldarecord #jr24h",-1,número de leitos,pacientes infectados,none,none
18,"diagnóstico de mortes por coronavirus nos estados golpistas do brasil: tiro de escopeta = coronavirus, atropelamento = coronavirus, infarto = coronavirus, derrame = coronavirus, engasgo = coronavirus, batida de carro = coronavirus, alergia = coronavirus. brasil não é para amadores.",-1,diagnóstico,estados golpistas,none,none
19,"não há vacina. o distanciamento social é a única medida para evitar a contaminação [por coronavírus] no planeta! nós multiplicamos por dez os casos de covid-19 em 15 dias na ilha de são luís, diz ",-1,vacina,distanciamento social,contaminação,Covid-19
20,"55% das pessoas diagnosticadas com coronavírus já estão recuperadas, informa ministério da saúde. https://t.co/iqr6hhy3pf",1,pessoas diagnosticadas,ministério da saúde,none,none
21,"cometemos um erro, especialmente na lombardia. estávamos totalmente focados em aumentar o número de leitos em unidades de terapia intensiva”. agora ele trata as pessoas em casa mais cedo com hidroxicloroquina. https://t.co/betgzx857n",-1,número de leitos,unidade de terapia intensiva,hidroxicloroquina,none
22,"@andredimauro @eliane_d_ @marcelolins68 @aurelien_gohier ... desde que começaram a usar ninguém mais precisou ser entubado, 100% de cura e 0% de óbitos.https://t.co/irkzmcd2dn",1,cura,óbitos,none,none
23,"@blogdonoblat é o 14° ano q o partido  (pdt) desse senhor governa o pobre amapá, antes do coronavírus já faltava o básico nos hospitais estaduais como gazes e até luvas. então podemos concluir q estão há 14anos trocando o pneudo carro com o carro em movimento. quanta incompetência vc não acha?",-1,amapá,hospitais estaduais,none,none
24,@bohngass e o prefeito de caxias está internado em hospital particular no rio. está com coronavirus. deu na globo ontem.,-1,hospital particular,rio,none,none
25,"@cherysil_ @antniosilvio3 está muito claro o coronavírus foi um engodo muito bem aplicado, com finalidade de roubo de bilhões e tentativa de derrubar bolsonaro.",-1,roubo de bilhões,derrubar bolsonaro,none,none
26,@costa_rui anuncia negociação com supermercados para viabilizar alimentação de estudantes . https://t.co/f1ddkmnpyj#covid19nasfavelas #nordesteusou #coronavirus https://t.co/b2uzgpxzve,1,alimentação de estudantes,none,none,none
27,"@davialcolumbredemagogia é se fazer de preocupado com o bem do povo e não abrir mão da mamata eleitoral!esse dinheiro é do povo e não de vocês, canalhas!faça numa pesquisa e veja se o povo tá afim de patrocinar essa mamata!seja homem !https://t.co/cggevbwi2l",-1,mamata eleitoral,none,none,none
28,"@davilso0 oi, as entregas até o momento estão normais, porem infelizmente devido a grande pandemia atual que o país esta passando, referente ao coronavírus, pode haver oscilação nas entregas, devido a redução de frotas, quarentena. havendo duvidas, contate nosso suporte.",-1,redução de frotas,quarentena,none,none
29,"@edsonsalomaomc espalham notícias falsas e querem o caos no brasil isto é outro vírus, o vírus da esquerdopatia, mata tanto, quanto o coronavirus.",-1,notícias falsas,caos,virus da esquerdopatia,none
30,"@energyls a suécia, que é citada em verso e prosa pelo osmar terra, proibiu o uso da cloroquina nos pacientes daquele país. não há nada confiável e imbatível diante dessa peste chinesa.https://t.co/iqkymijkk2",-1,suécia,cloroquina,peste chinesa,none
