Id,twitter,polarity,aspect1,aspect2,aspect3,aspect4
1,"é genocídio que chama? Funai recebe r$ 11 milhões para proteger indígenas do coronavírus, mas não gasta nenhum centavo - saúde - estadão https://t.co/mnueenbwrl",-1,proteger_indígenas,saúde,none,none
2,wilson witzel com coronavírus - recorde de mortes no rj e br- 90% das utis ocupadas em hospital referência municipal- 70% das uti ocupadas na rede estadual- hospitais de campanha não estão prontos- estudo prevê isolamento intermitente até 2022vamos levar a sério?,-1,wilson_witzel,utis,hospital_referência,hospitais_de_campanha
3,@andretrig diz que a crise do novo coronavírus ficará ainda mais grave caso não seja respeitado o isolamento social. as internações deram um salto de 57% nesta terça-feira. #cbncontraocoronavírus #fiqueemcasa #noarnacbn https://t.co/fnldnt3wbn,-1,novo_coronavírus,isolamento_social,caso,internações
4,metade das amostras das solas de sapatos do pessoal médico que trabalha na uti foi positiva para o novo coronavírus. os pesquisadores concluíram que o calçado de médicos e enfermeiros também podem ser portadores de sars-cov-2 . https://t.co/tpjawmghal https://t.co/n1nqvxueiy,-1,médicos,enfermeiros,pesquisadores,none
5,"@davialcolumbre, presidente do senado, falando contra destinar o fundão eleitoral para o combate ao covid-19:esses 2 bilhões, do financiamento da democracia, são eles que são fundamentais para o combate ao coronavírus?gastos do ministério da saúde até agora: r$12 bilhões. https://t.co/vzqmrfjs1u",-1,presidente_do_senado,fundão_eleitoral,combate_ao_covid-19,ministério_da_saúde
6,washington post’ diz que @jairbolsonaro é o pior líder global a lidar com o coronavírus. https://t.co/oyyzumj1re,-1,jair_bolsonaro,líder_global,none,none
7,"o brasil precisa de um plano de estímulo mais agressivo, como o plano marshall foi para a europa após a segunda guerra? #coronavirus https://t.co/omp0chfwpr",-1,plano_de_ estímulo,plano_marshall,europa,none
8,"#coronavírus: em araraquara (sp), uma mulher foi presa por descumprir decreto que proibia uso de parques e praças. ""esse cirquinho de coronavírus que armaram para implantar uma ditadura comunista"", disse ela, antes de ser detida https://t.co/qxn65nr40u",-1,ditadura_comunista,none,none,none
9,conselho de medicina interdita médica que sugeriu “soro anti-coronavírus” - folha impacto https://t.co/mdcmfatmg6,-1,conselho_de_medicina,soro_anti_coronavírus,none,none
10,"os gestores de todo o país vão precisa informar o número de leitos e quantos estão ocupados por pacientes infectados pelo coronavírus. se esses dados não forem repassados, a polícia federal poderá fazer uma blitz https://t.co/vteaup5oxq #jornaldarecord #jr24h",-1,número_de_leitos,pacientes_infectados,none,none
11,"o brasil apresenta alguns dos melhores índices de cura do coronavírus. são mais de 55% dos casos, superando países como alemanha (46,9%), espanha (39,9%), frança (27,8%) e itália (22,8%). fonte: ministério da saúde",-1,índices_de_cura,ministério_da_saúde,none,none
12,"diagnóstico de mortes por coronavirus nos estados golpistas do brasil: tiro de escopeta = coronavirus, atropelamento = coronavirus, infarto = coronavirus, derrame = coronavirus, engasgo = coronavirus, batida de carro = coronavirus, alergia = coronavirus. brasil não é para amadores.",-1,diagnóstico,estados_golpistas,none,none
13,"não há vacina. o distanciamento social é a única medida para evitar a contaminação [por coronavírus] no planeta! nós multiplicamos por dez os casos de covid-19 em 15 dias na ilha de são luís, diz ",-1,vacina,distanciamento_social,contaminação,Covid-19
14,"cometemos um erro, especialmente na lombardia. estávamos totalmente focados em aumentar o número de leitos em unidades de terapia intensiva”. agora ele trata as pessoas em casa mais cedo com hidroxicloroquina. https://t.co/betgzx857n",-1,número_de_leitos,unidade_de_terapia_intensiva,hidroxicloroquina,none
15,"@blogdonoblat é o 14° ano q o partido  (pdt) desse senhor governa o pobre amapá, antes do coronavírus já faltava o básico nos hospitais estaduais como gazes e até luvas. então podemos concluir q estão há 14anos trocando o pneudo carro com o carro em movimento. quanta incompetência vc não acha?",-1,amapá,hospitais_estaduais,none,none
16,@bohngass e o prefeito de caxias está internado em hospital particular no rio. está com coronavirus. deu na globo ontem.,-1,hospital_particular,rio,none,none
17,"@cherysil_ @antniosilvio3 está muito claro o coronavírus foi um engodo muito bem aplicado, com finalidade de roubo de bilhões e tentativa de derrubar bolsonaro.",-1,roubo_de_bilhões,derrubar_bolsonaro,none,none
18,"@davialcolumbredemagogia é se fazer de preocupado com o bem do povo e não abrir mão da mamata eleitoral!esse dinheiro é do povo e não de vocês, canalhas!faça numa pesquisa e veja se o povo tá afim de patrocinar essa mamata!seja homem !https://t.co/cggevbwi2l",-1,mamata_eleitoral,none,none,none
19,"@davilso0 oi, as entregas até o momento estão normais, porem infelizmente devido a grande pandemia atual que o país esta passando, referente ao coronavírus, pode haver oscilação nas entregas, devido a redução de frotas, quarentena. havendo duvidas, contate nosso suporte.",-1,redução_de_frotas,quarentena,none,none
20,"@edsonsalomaomc espalham notícias falsas e querem o caos no brasil isto é outro vírus, o vírus da esquerdopatia, mata tanto, quanto o coronavirus.",-1,notícias_falsas,caos,virus_da_esquerdopatia,none
21,"@energyls a suécia, que é citada em verso e prosa pelo osmar terra, proibiu o uso da cloroquina nos pacientes daquele país. não há nada confiável e imbatível diante dessa peste chinesa.https://t.co/iqkymijkk2",-1,suécia,cloroquina,peste_chinesa,none
22,@estadaopolitica @jairbolsonaro o banco mundial não acha de todo ruim e até citou uma ação do governo bolsonaro como exemplo: a redução de burocracia para importação de produtos que combatem o coronavírus.https://t.co/yucte3wtyt https://t.co/3igsbmqmsu,-1,banco_mundial,governo_bolsonaro,redução_da_burocracia_para_importação_de_produtos,none
23,"@evacalina desde há 2 dias ?! isto agora mudou imenso... uma variedade de temas, deixou de ser enjoativo, ora vê: - covid-19 - pandemia- coronavirus- surto- vacina- testes pronto, acho que disse todos, ufa !!! 😛",-1,Covid-19,pandemia,coronavirus,vacina
24,você deveria ter vergonha de postar isso. quando quiseram votar pra diminuição dos salários dos servidores e ] pra ajudar a diminuir os gastos nesse tempo de coronavirus vcs votaram contra agora vem com essa de se importar com os mais pobres. me poupe.,-1,diminuição_de_salários,none,none,none
25,"@helobrasileira @adrianosavix @edermauropa @denisesangoi @vlogdolisboa @vlogdolisboanew 😤 em fortaleza a construção de um hospital temporário no estádio presidente vargas com gasto de 💰80 milhões, para eventuais pacientes de coronavírus. obs: e não investe no novo hospital que já existe com 200 leitos e fechado. que país é esse😤 https://t.co/yvvhlxty52",-1,hospital_temporário,pacientes,leitos,none
26,"deputada, a única opção rápida é realmente a renúncia do presidente? juridicamente nada pode ser feito? a conta pra esse sociopata só vai chegar com a avalanche de cadáveres? o brasil não merece esse lixo de pr https://t.co/7dc2lipufc",-1,renúncia_do_presidente,avalanche_de_cadáveres,none,none
27,"ah, lacrou? vc está enganado, ele previu sim 1 milhão de mortes até agosto. espero que você passe a pesquisar o básico no google na próxima postage,evitando assim a vergonha que passa. https://t.co/a6xfzwwyx8",-1,mortes,none,none,none
28,eu a d o r o o ar professoral com que o asno @osmarterra ensina o burrico @bolsonarosp . tá sabendo mais do que as autoridades sobre a curva. esqueceu só q não se sabe se o #coronavirus faz o corpo criar anticorpos e os bolsominions saem falando como se sim.,-1,curva,anticorpos,none,none
29,prevendo o pico do coronavírus é igual pedreiro prevendo o final da obra. #mandettademitido #mandettagenocida #covid_19,-1,pico,none,none,none
30,que bagunça... jair bolsonaro mata mais que o coronavírus. queria estar surpreso,-1,jair_bolsonaro,none,none,none
31,e as mortes? e os casos que ainda tem? mas para aquele senhor é só uma gripezinha https://t.co/tawf4yx67q,-1,mortes,casos,gripezinha,none
32,"em ivoti todo mundo vai ter coronavírus, academias abrindo hoje. comércio aberto desde fim de semana já",-1,comércio,none,none,none
33,"em um país sério ele seria preso, processado, julgado e condenado, bolsonaro trouxe o coronavírus no aerovid-19 (aerococa), pegou o resultado por duas vezes testando positivo e fez questão de disseminar a doença em brasília. País não sério: o aras comandando a pgr arquivaria.",-1,bolsonaro,Aerovid-19,none,none
34,o governo estadual de sp errou feio sobre a quantidade de mortes por coronavírus!!!é necessário revermos urgentemente as atuais regras estabelecendo metas para a flexibilização e o término da suspensão da atividade das empresas e comércio!#bolsonarotemrazãosim https://t.co/6mxetlitq7,-1,governo,sp,mortes,none
35,só lembrando que o vírus que provoca o resfriado comum também é do tipo coronavirus.,-1,vírus,none,none,none
36,"quando a história do coronavirus for contada, saberemos que os comunistas, tentaram de todas as formas quebrar a economia mundial e implantar um regime socialista.",-1,comunistas,regime_socialista,none,none
