Id,twitter,polarity,aspect1,aspect2,aspect3,aspect4
1,"notícias boas, que bom #quarentena #quartaligadajusticasdv. mais de 70 vacinas contra o coronavírus estão sendo desenvolvidas diz nature #coronavirus https://t.co/kdgzxogm2b",1,none,vacinas,quarentena,none
2,"#fiqueatento! ⚖️ plenário julga, nesta quarta-feira (15), por videoconferência, ações relacionadas às medidas de combate ao #coronavírus. https://t.co/t6veb1ehcc",1,medidas_de_combate,none,none,none
4,"o brasil apresenta alguns dos melhores índices de cura do coronavírus. são mais de 55% dos casos, superando países como alemanha (46,9%), espanha (39,9%), frança (27,8%) e itália (22,8%). fonte: ministério da saúde",1,índices_de_cura,ministério_da_saúde,brasil,none
5,"☝🏼 atenção! saiba quando e onde encontrar um serviço de saúde em caso suspeito de #coronavírus. sentiu febre, tosse, desconforto respiratório ou falta de ar? dirija-se para uma das quatro upas com referência no atendimento. em caso de outros sintomas, procure as demais unidades https://t.co/cxldt0saqd",1,serviço_de_saúde,caso_suspeito,upas,sintomas
11,"veja iniciativas que são #boasnotícias em meio à pandemia de #coronavírus. se liga no recadinho de emilly araújo (@emillyaraujoof), apresentadora do #topzera #covid19 #coronavírusnobrasil https://t.co/exxw7siign",1,none,none,none,none
12,#covid19: apple e google anunciam iniciativa de rastreamento de pessoas para que governos monitorem fluxos de circulação durante a pandemia do novo #coronavírus. leia em https://t.co/7ktihmjw0f 📷 marcello casal jr./@agenciabrasil/© https://t.co/zsjecqag5i,1,rastreamento_de_pessoas,fluxo_de_circulação,pandemia,none
14,#coronavirus (oms diz: não use ibuprofeno) ~ouça atualizações na região centro-oeste~https://t.co/imlsepja1t,1,oms,none,none,none
21,"55% das pessoas diagnosticadas com coronavírus já estão recuperadas, informa ministério da saúde. https://t.co/iqr6hhy3pf",1,pessoas_diagnosticadas,ministério_da_saúde,none,none
23,"@andredimauro @eliane_d_ @marcelolins68 @aurelien_gohier ... desde que começaram a usar ninguém mais precisou ser entubado, 100% de cura e 0% de óbitos.https://t.co/irkzmcd2dn",1,cura,óbitos,none,none
27,@costa_rui anuncia negociação com supermercados para viabilizar alimentação de estudantes . https://t.co/f1ddkmnpyj#covid19nasfavelas #nordesteusou #coronavirus https://t.co/b2uzgpxzve,1,alimentação_de_estudantes,none,none,none
32,@estadaointer governo da nova zelândia destina 20% dos salários para combate ao novo coronavírus -via @estadaointer https://t.co/pyz895q1wu,1,nova_zelândia,salários,combate,none
35,"olha que ótima notícia também! posta ou retweetar fabão, me ajudar a espalhar, enfim, noticias como essas trazem esperança. grande abraço. https://t.co/klz1hdxydh",1,none,none,none,none
41,"temos apenas um inimigo: o novo coronavírus. quanto ao medicamento, não preciso tomar, estou assintomático.",1,novo_coronavírus,medicamento,none,none
42,"divulga, pela primeira vez, o número de pessoas recuperadas do #coronavírus, até 14/04:▶️25.262 pacientes diagnosticados p/ #covid-19▶️1.532 óbitos▶️9.704 pacientes internados▶️14.026 recuperados",1,recuperadas,paacientes_diagnosticados,pacientes_internados,óbitos
43,"sua risada amiga, eu acho que ela é a cura pro coronavírus",1,cura,none,none,none
47,átila explicando sobre o coronavirus. https://t.co/whmayvyir3,1,none,none,none,none
48,"você sabe mto bem qual é o vídeo citado até pq o tema em questão aqui é o coronavírus. mas se vc acha interessante trazer o currículo do cara para justificar qualquer coisa, então fique a vontade.",1,none,none,none,none
54,"eu achei isso intrigante. logo na hora que uma loira, chique, bonita e rica me lacrou para a gente sair na semana o coronavírus veio bater em fortaleza foi ligeiro rapaz! essa foi por pouco loiras!",1,none,none,none,none
55,"talíria a maconha faz mal para o coronavírus viu, já avisou no twitter?",1,none,none,none,none
58,#bahiafazciência cientistas baianos propõem novas drogas para tratar o #coronavírus https://t.co/7xquotjk1l..#sectiba #ciência #tecnologia #inovação #covid19 #covid2019 https://t.co/bqw5kwgjf0,1,cientistas,drogas,none,none
60,#bomdia eu insisto e persisto. é viável fazer um pacto federal entre poderes para repassar os 2 bilhões do fundo eleitoral para saúde e auxílio às vítimas do coronavírus. mas o trabalho de convencimento dos políticos tem que ser feito pelo povo. https://t.co/anqyajn3a8,1,none,fundo_eleitoral,auxílio,none
62,#combateaocoronavírus | nossos parlamentares estão apoiando as discussões sobre o combate ao #covid19 (ou #coronavírus). o deputado @genpeternelli (sp) falou sobre as principais ações discutidas dentro do parlamento. assista! https://t.co/nqyko1tnvp,1,none,combate,none,none
63,"#coronavírus | @mineconomia propõe alternativa ao projeto de lei de apoio a estados e municípios aprovado pela câmara. entre as novas medidas e as que já estão em andamento, o valor do auxílio aos entes federativos chegaria a r$ 127,3 bilhões. saiba mais: https://t.co/k5ab4obxhm https://t.co/8xocztzqvl",1,none,auxílio_financeiro,none,none
65,#coronavirus 15 de abril 2020 #covid19 https://t.co/a6qrnx6fzt,1,none,none,none,none
66,"#coronavírus: aplicações acontecem das 19 às 22 horas e a previsão é que sejam feitas ao longo de duas semanas nas praças públicas, avenidas, serviços de saúde e comércios https://t.co/yq7bobv2hp",1,none,none,none,none
68,#coronavírus: mais um exemplo do esforço brasileiro no combate à covid-19. uma equipe de cientistas da unesp descobriu um gene humano que pode ter relação com a maior evidência de pacientes homens e idosos infectados pelo coronavírus https://t.co/e76cm1lg6l,1,combate,cientistas,pacientes,pacientes_infectados
70,"#coronavírus: plano piloto é a ra que menos respeita o isolamento. uma média de 50,4% das pessoas da área central de brasília se mantiveram em quarentena. na outra ponta, está o riacho fundo 2, com 79,1% #metrópoles https://t.co/armkcj6chi",1,brasília,quarentena,none,none
72,"#covid19| ministro do @minfraestrutura, @tarcisiogdf, indica que o @govbr trabalha para otimizar a malha aérea neste momento de crise com a #pandemia do #coronavirus, em entrevista exclusiva à tv brasil 📺 https://t.co/2ogpnrzyde",1,crise,none,none,none
74,#defensorasedefensorespúblicosnãoparam#adefensoriaestadualnãopara#defensoriasimcoronavírus: decreto de itaguaí distribui cestas básicas à alunos da rede pública . https://t.co/cgg9zjg06r https://t.co/qe8pxe4too,1,none,none,none,none
75,#defensorasedefensorespúblicosnãoparam#adefensoriaestadualnãopara#defensoriasimcoronavírus: gt de regularização fundiária da dpe-pa garante a suspensão de reintegrações de posse em belém e castanhalhttps://t.co/gu0rjpazly https://t.co/totxqu8vf8,1,none,none,none,none
76,#defensorasedefensorespúblicosnãoparam#defensoriasimcoronavírus: defensoria pública de ms faz recomendação ao município de sonora para que seja realizado o controle de acesso de pescadores à comunidade quilombola durante pandemia . https://t.co/4wjh3fxyut https://t.co/uozfdmfnob,1,controle_de_acesso,none,pandemia,none
77,"#estamospresentes | quando unimos nossas forças, podemos ir mais longe! 💪 seguimos empenhados em apoiar ações de combate ao coronavírus e temos uma novidade: iniciamos as obras para implantação rede de água em hospital de campanha [...] https://t.co/xedfle20e9",1,ações_de_combate,hospital_de_campanha,none,none
79,#plenário: dep. @cabobebeto parabeniza iniciativas do @ifal_oficial e da @ufaloficial no enfrentamento ao coronavírus.,1,enfrentamento,none,none,none
